""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CZ00590	1490.36704491708	1.72633101580619	0.18223212958901	9.4732527118001	2.71262391995563e-21	8.0344095013814e-20	S_eubayanus	SPGP0CZ00590	XP_018220885.1	A0A0L8RFM8	A0A0L8RFM8_SACEU	DI49_3213				DI49_3213	MRP49-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	135		mitochondrial translation [GO:0032543]	structural constituent of ribosome [GO:0003735]	mitochondrial large ribosomal subunit [GO:0005762]																
SPGP0CZ00640	79.2492134728049	1.51796998502631	0.26766229003547	5.67121347136779	1.4178958730357e-08	1.16159359598608e-07	S_eubayanus	SPGP0CZ00640	XP_018220890.1	A0A0L8RFN1	A0A0L8RFN1_SACEU	DI49_3219				DI49_3219	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	253			structural constituent of cell wall [GO:0005199]	cell wall [GO:0005618]																
SPGP0CZ00730	350.67506938816	-1.46666257009818	0.13495104344314	-10.8681084093739	1.63556638011209e-27	7.55713445930793e-26	S_eubayanus	SPGP0CZ00730	XP_018220898.1	A0A0L8RFH9	A0A0L8RFH9_SACEU	DI49_3228				DI49_3228	Phosphoglycerate mutase (EC 5.4.2.11)	unreviewed	Saccharomyces eubayanus (Yeast)	247	5.4.2.11	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	phosphoglycerate mutase activity [GO:0004619]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]		CATALYTIC ACTIVITY: Reaction=(2R)-2-phosphoglycerate = (2R)-3-phosphoglycerate; Xref=Rhea:RHEA:15901, ChEBI:CHEBI:58272, ChEBI:CHEBI:58289; EC=5.4.2.11; Evidence={ECO:0000256|RuleBase:RU004511};					PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 3/5. {ECO:0000256|RuleBase:RU004511}.									
SPGP0CZ00740	95190.0488969708	2.11361826298073	0.15401384695055	13.7235599579521	7.33724675528738e-43	9.04046630208142e-41	S_eubayanus	SPGP0CZ00740	XP_018220899.1	A0A0L8RG68	A0A0L8RG68_SACEU	DI49_3229				DI49_3229	ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase)	unreviewed	Saccharomyces eubayanus (Yeast)	337	4.2.1.93	nicotinamide nucleotide metabolic process [GO:0046496]	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; ATP-dependent NAD(P)H-hydrate dehydratase activity [GO:0047453]	cytoplasm [GO:0005737]	FUNCTION: Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S-and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. {ECO:0000256|HAMAP-Rule:MF_03157}.	CATALYTIC ACTIVITY: Reaction=(6S)-NADHX + ATP = ADP + H(+) + NADH + phosphate; Xref=Rhea:RHEA:19017, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57945, ChEBI:CHEBI:64074, ChEBI:CHEBI:456216; EC=4.2.1.93; Evidence={ECO:0000256|HAMAP-Rule:MF_03157};		COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|HAMAP-Rule:MF_03157}; 							SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03157}.					
SPGP0CZ00850	1669.39643932046	1.04826658103892	0.0948605359628961	11.0506078254601	2.17735636795999e-28	1.04796615605824e-26	S_eubayanus	SPGP0CZ00850	XP_018220910.1	A0A0L8RFQ0	A0A0L8RFQ0_SACEU	DI49_3240				DI49_3240	CTK1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	529		mRNA 3'-end processing [GO:0031124]; peptidyl-serine phosphorylation [GO:0018105]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of translational fidelity [GO:0045903]; translational initiation [GO:0006413]	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]	CTDK-1 complex [GO:0070692]; nucleolus [GO:0005730]																
SPGP0CZ01110	3918.82015232422	1.02248704956636	0.13287789683938	7.69493703533191	1.41563868541999e-14	2.48705648136238e-13	S_eubayanus	SPGP0CZ01110	XP_018220936.1	A0A0L8RFJ2	A0A0L8RFJ2_SACEU	DI49_3268				DI49_3268	SLD2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	453		DNA replication initiation [GO:0006270]; DNA replication preinitiation complex assembly [GO:0071163]; DNA strand renaturation [GO:0000733]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication checkpoint [GO:0033314]; negative regulation of protein-containing complex assembly [GO:0031333]	DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697]	DNA replication preinitiation complex [GO:0031261]																
SPGP0CZ01130	629.898257353516	-1.05563814148295	0.181561531395423	-5.81421699503007	6.09183505004883e-09	5.31583075519369e-08	S_eubayanus	SPGP0CZ01130	XP_018220938.1	A0A0L8RFL6	A0A0L8RFL6_SACEU	DI49_3270				DI49_3270	Aspartate aminotransferase (EC 2.6.1.1)	unreviewed	Saccharomyces eubayanus (Yeast)	451	2.6.1.1	biosynthetic process [GO:0009058]; cellular amino acid metabolic process [GO:0006520]; chronological cell aging [GO:0001300]; replicative cell aging [GO:0001302]	L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]	mitochondrion [GO:0005739]		CATALYTIC ACTIVITY: Reaction=2-oxoglutarate + L-aspartate = L-glutamate + oxaloacetate; Xref=Rhea:RHEA:21824, ChEBI:CHEBI:16452, ChEBI:CHEBI:16810, ChEBI:CHEBI:29985, ChEBI:CHEBI:29991; EC=2.6.1.1; Evidence={ECO:0000256|RuleBase:RU000480};												SUBUNIT: Homodimer. {ECO:0000256|RuleBase:RU000480}.		
SPGP0CZ01190	31.6942279920535	-1.30707652123455	0.359756679600033	-3.63322377415679	0.000279902069598324	0.00107060224551246	S_eubayanus	SPGP0CZ01190	XP_018220944.1	A0A0L8RGA6	A0A0L8RGA6_SACEU	DI49_3276				DI49_3276	U3 small nucleolar RNA-associated protein 11 (U3 snoRNA-associated protein 11)	unreviewed	Saccharomyces eubayanus (Yeast)	250		endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; translation [GO:0006412]		nucleolus [GO:0005730]; small-subunit processome [GO:0032040]	FUNCTION: Involved in nucleolar processing of pre-18S ribosomal RNA. {ECO:0000256|PIRNR:PIRNR015952}.										SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000256|PIRNR:PIRNR015952}.			SUBUNIT: Component of the ribosomal small subunit (SSU) processome. {ECO:0000256|PIRNR:PIRNR015952}.		
SPGP0CZ01240	2682.6853901978	-1.70379596308204	0.191296350360688	-8.90657850957191	5.26316957492448e-19	1.35478969475981e-17	S_eubayanus	SPGP0CZ01240	XP_018220949.1	A0A0L8RGB1	A0A0L8RGB1_SACEU	DI49_3281				DI49_3281	YJU3-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	313		triglyceride metabolic process [GO:0006641]	acylglycerol lipase activity [GO:0047372]	lipid droplet [GO:0005811]; membrane [GO:0016020]																
SPGP0CZ01250	5447.47374112268	-1.59209529858527	0.168098493518845	-9.47120503734191	2.76633696589699e-21	8.16732265234955e-20	S_eubayanus	SPGP0CZ01250	XP_018220950.1	A0A0L8RFT5	A0A0L8RFT5_SACEU	DI49_3282				DI49_3282	MBR1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	341		aerobic respiration [GO:0009060]																		
SPGP0CZ01310	22.4386264665388	-1.97272463387733	0.356826654992385	-5.5285237419257	3.22936727129362e-08	2.47861984667976e-07	S_eubayanus	SPGP0CZ01310	XP_018220956.1	A0A0L8RFL2	A0A0L8RFL2_SACEU	DI49_3288				DI49_3288	Cytochrome c heme lyase (EC 4.4.1.17)	unreviewed	Saccharomyces eubayanus (Yeast)	223	4.4.1.17	cytochrome c-heme linkage [GO:0018063]	holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]	FUNCTION: Links covalently the heme group to the apoprotein of cytochrome c. {ECO:0000256|RuleBase:RU363130}.	CATALYTIC ACTIVITY: Reaction=holo-[cytochrome c] = apo-[cytochrome c] + heme b; Xref=Rhea:RHEA:22648, Rhea:RHEA-COMP:10725, Rhea:RHEA-COMP:10726, ChEBI:CHEBI:29950, ChEBI:CHEBI:60344, ChEBI:CHEBI:83739; EC=4.4.1.17; Evidence={ECO:0000256|RuleBase:RU363130};									SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU363130}.					
SPGP0CZ01350	1114.36632126968	-1.00241312711303	0.156556352483021	-6.40289014923075	1.52462892459942e-10	1.65754069320274e-09	S_eubayanus	SPGP0CZ01350	XP_018220960.1	A0A0L8RFU9	A0A0L8RFU9_SACEU	DI49_3292				DI49_3292	RRP14-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	432		ribosomal large subunit biogenesis [GO:0042273]; ribosomal small subunit biogenesis [GO:0042274]		nucleolus [GO:0005730]																
SPGP0CZ01470	1472.30763316216	-1.52281635947505	0.129996012729852	-11.7143312898346	1.07637154747555e-31	6.76649623824594e-30	S_eubayanus	SPGP0CZ01470	XP_018220971.1	A0A0L8RFM7	A0A0L8RFM7_SACEU	DI49_3305				DI49_3305	NUP100-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	1012		mRNA export from nucleus in response to heat stress [GO:0031990]; NLS-bearing protein import into nucleus [GO:0006607]; positive regulation of transcription, DNA-templated [GO:0045893]; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein localization to nuclear inner membrane [GO:0036228]	structural constituent of nuclear pore [GO:0017056]	nuclear pore central transport channel [GO:0044613]																
SPGP0CZ01540	47.2482885523783	-1.1832713745322	0.21936965995118	-5.39396092784907	6.8921211229075e-08	5.0587840585217e-07	S_eubayanus	SPGP0CZ01540	XP_018220978.1	A0A0L8RFQ6	A0A0L8RFQ6_SACEU	DI49_3313				DI49_3313	BLI1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	113		endosome organization [GO:0007032]; regulation of protein localization [GO:0032880]		BLOC-1 complex [GO:0031083]																
SPGP0CZ01580	207472.827611357	1.55778871080338	0.137221419491196	11.3523728043297	7.21769893771079e-30	3.9701640406777e-28	S_eubayanus	SPGP0CZ01580	XP_018220982.1	A0A0L8RFP4	A0A0L8RFP4_SACEU	DI49_3317				DI49_3317	NUP120-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	1037		double-strand break repair [GO:0006302]; maintenance of chromatin silencing at telomere [GO:0035392]; mRNA export from nucleus in response to heat stress [GO:0031990]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear pore distribution [GO:0031081]; positive regulation of transcription by RNA polymerase II [GO:0045944]; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein import into nucleus [GO:0006606]; ribosomal large subunit export from nucleus [GO:0000055]; telomere tethering at nuclear periphery [GO:0034398]	identical protein binding [GO:0042802]; structural constituent of nuclear pore [GO:0017056]	chromosome, telomeric region [GO:0000781]; membrane [GO:0016020]; nuclear pore outer ring [GO:0031080]																
SPGP0CZ01660	64.3105367311955	-1.1765707397848	0.229024792627345	-5.13730730322825	2.78703007052849e-07	1.85688139017691e-06	
SPGP0CZ01670	617.570484281822	-1.10296874645843	0.149927697308763	-7.35667102381334	1.88553264301248e-13	2.96834874856531e-12	S_eubayanus	SPGP0CZ01670	XP_018220990.1	A0A0L8RFX7	A0A0L8RFX7_SACEU	DI49_3325				DI49_3325	ELM1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	645		budding cell bud growth [GO:0007117]; cell morphogenesis [GO:0000902]; cellular response to glucose starvation [GO:0042149]; mitotic cytokinesis [GO:0000281]; positive regulation of protein autophosphorylation [GO:0031954]; protein autophosphorylation [GO:0046777]; protein localization to septin ring [GO:1902935]; pseudohyphal growth [GO:0007124]; response to drug [GO:0042493]; septin ring assembly [GO:0000921]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	cellular bud neck septin ring [GO:0000144]																
SPGP0CZ01850	77.2692706758671	-2.18018561648782	0.251456979629691	-8.67021317005587	4.31312136190186e-18	1.02198857705987e-16	S_eubayanus	SPGP0CZ01850	XP_018221007.1	A0A0L8RFR7	A0A0L8RFR7_SACEU	DI49_3343				DI49_3343	ThiF domain-containing protein	unreviewed	Saccharomyces eubayanus (Yeast)	448		cyclic threonylcarbamoyladenosine biosynthetic process [GO:0061504]	tRNA threonylcarbamoyladenosine dehydratase [GO:0061503]; ubiquitin-like modifier activating enzyme activity [GO:0008641]																	
SPGP0CZ01990	4.12503335897939	-2.84291342435432	0.987038727314561	-2.88024506605637	0.00397366167127435	0.0115655456706287	S_eubayanus	SPGP0CZ01990	XP_018221020.1	A0A0L8RG03	A0A0L8RG03_SACEU	DI49_3356				DI49_3356	ATP synthase subunit d, mitochondrial	unreviewed	Saccharomyces eubayanus (Yeast)	174		ATP synthesis coupled proton transport [GO:0015986]	proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. {ECO:0000256|PIRNR:PIRNR005514}.										SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|PIRNR:PIRNR005514}.					
SPGP0CZ02020	336.619217979573	-2.13350929167757	0.251370266450041	-8.48751653012867	2.11099722585445e-17	4.85266800102511e-16	S_eubayanus	SPGP0CZ02020	XP_018221023.1	A0A0L8RFV2	A0A0L8RFV2_SACEU	DI49_3359				DI49_3359	Actin-related protein 2/3 complex subunit 4	unreviewed	Saccharomyces eubayanus (Yeast)	171		actin cortical patch organization [GO:0044396]; actin filament polymerization [GO:0030041]; Arp2/3 complex-mediated actin nucleation [GO:0034314]	actin binding [GO:0003779]; molecular adaptor activity [GO:0060090]	actin cortical patch [GO:0030479]; Arp2/3 protein complex [GO:0005885]	FUNCTION: Functions as actin-binding component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament. {ECO:0000256|PIRNR:PIRNR039100}.										SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, actin patch {ECO:0000256|PIRNR:PIRNR039100}.					
SPGP0CZ02040	387.426062673187	-2.09815912503636	0.192933211900669	-10.8750541411014	1.51565783411862e-27	7.03828846486942e-26	S_eubayanus	SPGP0CZ02040	XP_018221025.1	A0A0L8RG06	A0A0L8RG06_SACEU	DI49_3361				DI49_3361	CCE1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	353		mitochondrial genome maintenance [GO:0000002]	endodeoxyribonuclease activity [GO:0004520]; nucleic acid binding [GO:0003676]	mitochondrial inner membrane [GO:0005743]																
