""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CZ00950	594.651152572431	1.25380326945172	0.157828271930193	7.94409806378842	1.95608804542613e-15	4.11232338273924e-14	S_eubayanus	SPGP0CZ00950	XP_018220920.1	A0A0L8RFQ9	A0A0L8RFQ9_SACEU	DI49_3250				DI49_3250	PMU1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	295																				
SPGP0CZ01470	1472.30763316216	-1.77232396814922	0.132082858499516	-13.4182738644751	4.72592960740104e-41	5.86597920173435e-39	S_eubayanus	SPGP0CZ01470	XP_018220971.1	A0A0L8RFM7	A0A0L8RFM7_SACEU	DI49_3305				DI49_3305	NUP100-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	1012		mRNA export from nucleus in response to heat stress [GO:0031990]; NLS-bearing protein import into nucleus [GO:0006607]; positive regulation of transcription, DNA-templated [GO:0045893]; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000973]; protein localization to nuclear inner membrane [GO:0036228]	structural constituent of nuclear pore [GO:0017056]	nuclear pore central transport channel [GO:0044613]																
SPGP0CZ01480	562.484744005058	-1.1346080319465	0.164491995189955	-6.89764891377393	5.28702111620315e-12	7.45034188707881e-11	S_eubayanus	SPGP0CZ01480	XP_018220972.1	A0A0L8RFN4	A0A0L8RFN4_SACEU	DI49_3307				DI49_3307	Nucleoside diphosphate kinase (EC 2.7.4.6)	unreviewed	Saccharomyces eubayanus (Yeast)	153	2.7.4.6	CDP phosphorylation [GO:0061508]; cellular response to DNA damage stimulus [GO:0006974]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]	ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-diphosphate + ATP = a 2'-deoxyribonucleoside 5'-triphosphate + ADP; Xref=Rhea:RHEA:44640, ChEBI:CHEBI:30616, ChEBI:CHEBI:61560, ChEBI:CHEBI:73316, ChEBI:CHEBI:456216; EC=2.7.4.6; Evidence={ECO:0000256|RuleBase:RU004013};														
SPGP0CZ01540	47.2482885523783	1.65715707711966	0.272710331481527	6.07662008299056	1.22742096900137e-09	1.25103052869757e-08	S_eubayanus	SPGP0CZ01540	XP_018220978.1	A0A0L8RFQ6	A0A0L8RFQ6_SACEU	DI49_3313				DI49_3313	BLI1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	113		endosome organization [GO:0007032]; regulation of protein localization [GO:0032880]		BLOC-1 complex [GO:0031083]																
SPGP0CZ01600	328.325977428651	-1.06759459161467	0.2416260594002	-4.41837521277637	9.94456699162411e-06	5.22666598092262e-05	S_eubayanus	SPGP0CZ01600	XP_018220984.1	A0A0L8RGE2	A0A0L8RGE2_SACEU	DI49_3319				DI49_3319	OAR1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	278		aerobic respiration [GO:0009060]; fatty acid metabolic process [GO:0006631]	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]	mitochondrion [GO:0005739]																
SPGP0CZ01620	39.2803925822605	-1.18002038023145	0.311102198454674	-3.79303131283841	0.0001488193818332	0.000604958465137114	S_eubayanus	SPGP0CZ01620	XP_018220986.1	A0A0L8RFP2	A0A0L8RFP2_SACEU	DI49_3321				DI49_3321	MDM35-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	86		mitochondrial respiratory chain complex assembly [GO:0033108]; phospholipid translocation [GO:0045332]		mitochondrial intermembrane space [GO:0005758]																
SPGP0CZ01850	77.2692706758671	-1.10173016241273	0.283802251914655	-3.88203460324917	0.00010358613274153	0.00043513859470144	S_eubayanus	SPGP0CZ01850	XP_018221007.1	A0A0L8RFR7	A0A0L8RFR7_SACEU	DI49_3343				DI49_3343	ThiF domain-containing protein	unreviewed	Saccharomyces eubayanus (Yeast)	448		cyclic threonylcarbamoyladenosine biosynthetic process [GO:0061504]	tRNA threonylcarbamoyladenosine dehydratase [GO:0061503]; ubiquitin-like modifier activating enzyme activity [GO:0008641]																	
SPGP0CZ01910	45.6575376258745	1.10448370449636	0.312235581352034	3.53734093889541	0.000404177555253218	0.00150030840972938	S_eubayanus	SPGP0CZ01910	XP_018221012.1	A0A0L8RFS3	A0A0L8RFS3_SACEU	DI49_3348				DI49_3348	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	274		nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' [GO:0034427]																		
SPGP0CZ02040	387.426062673187	-1.54623901386721	0.18989321416869	-8.14267650709001	3.86634265140794e-16	8.73639171182227e-15	S_eubayanus	SPGP0CZ02040	XP_018221025.1	A0A0L8RG06	A0A0L8RG06_SACEU	DI49_3361				DI49_3361	CCE1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	353		mitochondrial genome maintenance [GO:0000002]	endodeoxyribonuclease activity [GO:0004520]; nucleic acid binding [GO:0003676]	mitochondrial inner membrane [GO:0005743]																
SPGP0CZ02140	41.4955492290846	-1.94579807320409	0.563356391651198	-3.45393804355527	0.000552464281317386	0.00198961798609572	S_eubayanus	SPGP0CZ02140	XP_018221034.1	A0A0L8RGI7	A0A0L8RGI7_SACEU	DI49_3370				DI49_3370	MRP17-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	131		translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	mitochondrial small ribosomal subunit [GO:0005763]																
SPGP0CZ02260	1304.729492606	1.10362333095482	0.236223678804024	4.67194201928591	2.9836519287881e-06	1.72967819109078e-05	S_eubayanus	SPGP0CZ02260	XP_018221046.1	A0A0L8RFV1	A0A0L8RFV1_SACEU	DI49_3383				DI49_3383	TOF2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	771		chromatin silencing at rDNA [GO:0000183]; protein localization to nucleolar rDNA repeats [GO:0034503]; rDNA condensation [GO:0070550]	phosphatase activator activity [GO:0019211]	nucleolus [GO:0005730]																
SPGP0CZ02270	457.883263102682	1.2134531037331	0.407182786266903	2.98011886715097	0.00288136550297108	0.00871721296241102	S_eubayanus	SPGP0CZ02270	XP_018221047.1	A0A0L8RFV6	A0A0L8RFV6_SACEU	DI49_3384				DI49_3384	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	357																				
SPGP0CZ02520	285.294479753483	1.17819640415516	0.141990357130081	8.29772125353397	1.06127326398608e-16	2.51732906936594e-15	S_eubayanus	SPGP0CZ02520	XP_018221072.1	A0A0L8RFY0	A0A0L8RFY0_SACEU	DI49_3411				DI49_3411	GAP1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	601			beta-alanine transmembrane transporter activity [GO:0001761]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-proline transmembrane transporter activity [GO:0015193]; polyamine transmembrane transporter activity [GO:0015203]	COPII-coated ER to Golgi transport vesicle [GO:0030134]; fungal-type vacuole lumen [GO:0000328]; integral component of plasma membrane [GO:0005887]; multivesicular body [GO:0005771]													"TRANSMEM 132..154;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 175..196;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 202..221;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 230..250;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 322..341;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 348..370;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 376..401;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 422..440;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 452..473;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 494..516;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 528..545;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ02560	3197.62393976035	1.71925221140148	0.168588021325215	10.197949996014	2.02501563769451e-24	9.75992909210102e-23	S_eubayanus	SPGP0CZ02560	XP_018221076.1	A0A0L8RFX9	A0A0L8RFX9_SACEU	DI49_3416				DI49_3416	UIP5-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	440				integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]													"TRANSMEM 393..416;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ02690	45.9694128864391	1.85257757129585	0.254421607754848	7.28152607651521	3.30064833178375e-13	5.34029427572544e-12	S_eubayanus	SPGP0CZ02690	XP_018221089.1	A0A0L8RGN8	A0A0L8RGN8_SACEU	DI49_3429				DI49_3429	GLG1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	559		glycogen biosynthetic process [GO:0005978]	glycogenin glucosyltransferase activity [GO:0008466]																	
SPGP0CZ02710	1925.04906889632	-1.10818993202995	0.13786217650532	-8.03838993494482	9.10265697770493e-16	1.97318600179388e-14	S_eubayanus	SPGP0CZ02710	XP_018221091.1	A0A0L8RFZ3	A0A0L8RFZ3_SACEU	DI49_3431				DI49_3431	UTP30-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	274		maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]		90S preribosome [GO:0030686]; nucleolus [GO:0005730]																
SPGP0CZ02840	368.041958161334	-1.06061301199912	0.178290328486956	-5.94879722865459	2.70120017406201e-09	2.61491183516836e-08	S_eubayanus	SPGP0CZ02840	XP_018221103.1	A0A0L8RG25	A0A0L8RG25_SACEU	DI49_3444				DI49_3444	AIM29-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	155																				
SPGP0CZ02890	2233.98202886351	-1.3618031257593	0.293801206541942	-4.63511754014835	3.56734718654657e-06	2.03935223074438e-05	S_eubayanus	SPGP0CZ02890	XP_018221108.1	A0A0L8RG30	A0A0L8RG30_SACEU	DI49_3449				DI49_3449	TRZ1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	838		mitochondrial tRNA 3'-end processing [GO:1990180]	3'-tRNA processing endoribonuclease activity [GO:0042781]	mitochondrion [GO:0005739]; nucleus [GO:0005634]																
SPGP0CZ02930	402.089188529787	-1.33971558270914	0.15942210106243	-8.40357499857881	4.33088007157031e-17	1.06347166201893e-15	S_eubayanus	SPGP0CZ02930	XP_018221112.1	A0A0L8RG15	A0A0L8RG15_SACEU	DI49_3453				DI49_3453	DAD2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	133		attachment of spindle microtubules to kinetochore [GO:0008608]; mitotic cell cycle [GO:0000278]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of microtubule polymerization [GO:0031116]	microtubule plus-end binding [GO:0051010]	DASH complex [GO:0042729]; mitotic spindle [GO:0072686]																
SPGP0CZ03040	20.0517035278562	1.60624797011358	0.445260956082429	3.60743053746716	0.000309244290159333	0.00117882310186526	S_cerevisiae	SPGP0CZ03040	P0CH09	P0CH09	RL40B_YEAST	RPL40B UBI2 YKR094C	RPL40B	UBI2	YKR094C		Ubiquitin-60S ribosomal protein L40 [Cleaved into: Ubiquitin; 60S ribosomal protein L40-B (CEP52) (Large ribosomal subunit protein eL40-B)]	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	128		cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]; ribosome biogenesis [GO:0042254]	protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]	cytoplasm [GO:0005737]; cytosolic large ribosomal subunit [GO:0022625]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	FUNCTION: [Ubiquitin]: Exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be involved in DNA repair; Lys-11-linked is involved in ERAD (endoplasmic reticulum-associated degradation) and in cell-cycle regulation; Lys-29-linked is involved in lysosomal degradation; Lys-33-linked is involved in kinase modification; Lys-48-linked is involved in protein degradation via the proteasome; Lys-63-linked is involved in endocytosis, and DNA-damage responses. Linear polymer chains formed via attachment by the initiator Met lead to cell signaling. Ubiquitin is usually conjugated to Lys residues of target proteins, however, in rare cases, conjugation to Cys or Ser residues has been observed. When polyubiquitin is free (unanchored-polyubiquitin), it also has distinct roles, such as in activation of protein kinases, and in signaling (By similarity). {ECO:0000250}.; FUNCTION: [60S ribosomal protein L40-B]: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (PubMed:22096102). eL40 is essential for translation of a subset of cellular transcripts, including stress response transcripts, such as DDR2 (PubMed:23169626). {ECO:0000269|PubMed:23169626, ECO:0000305|PubMed:22096102}.										SUBCELLULAR LOCATION: [Ubiquitin]: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.; SUBCELLULAR LOCATION: [60S ribosomal protein L40-B]: Cytoplasm {ECO:0000269|PubMed:22096102}.			SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:9559554, PubMed:22096102). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.		
SPGP0CZ03050	16252.1192827753	2.49183944522302	0.204751927463492	12.1700414550057	4.48854495890807e-34	4.1081521083501e-32	S_eubayanus	SPGP0CZ03050	XP_018221123.1	A0A0L8RG46	A0A0L8RG46_SACEU	DI49_3464				DI49_3464	MLP1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	1885		negative regulation of protein import into nucleus during spindle assembly checkpoint [GO:1901925]; nuclear retention of unspliced pre-mRNA at the site of transcription [GO:0071048]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; protein localization to nuclear pore [GO:0090204]; telomere tethering at nuclear periphery [GO:0034398]; transcriptional activation by promoter-terminator looping [GO:0090203]	ribonucleoprotein complex binding [GO:0043021]	nuclear pore nuclear basket [GO:0044615]; nucleoplasm [GO:0005654]; spindle pole body [GO:0005816]																
SPGP0DB00100	98.8948571894881	-1.14982480101324	0.280261952920956	-4.10267890104059	4.08393849181723e-05	0.000189184901198139	S_cerevisiae	SPGP0DB00100	P39112	P39112	DSS1_YEAST	DSS1 MSU1 YMR287C YM8021.13C	DSS1	MSU1	YMR287C	YM8021.13C	Exoribonuclease II, mitochondrial (RNase II) (Ribonuclease II) (EC 3.1.13.1) (Deletion of SUV3 suppressor 1) (Mitochondrial biogenesis protein MSU1)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	969	3.1.13.1	mitochondrial RNA catabolic process [GO:0000957]	3'-5'-exoribonuclease activity [GO:0000175]; exoribonuclease II activity [GO:0008859]; RNA binding [GO:0003723]	exosome (RNase complex) [GO:0000178]; mitochondrial degradosome [GO:0045025]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	FUNCTION: Essential for mitochondrial biogenesis.; FUNCTION: Required for intron-independent turnover and processing of mitochondrial RNA. Participates in 3' mtRNA processing where it hydrolyzes single-stranded RNA or partially double-stranded RNA with 3' single-stranded tails.	CATALYTIC ACTIVITY: Reaction=Exonucleolytic cleavage in the 3'- to 5'-direction to yield nucleoside 5'-phosphates.; EC=3.1.13.1;									SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:14576278}.			SUBUNIT: MSU1 and SUV3 are the two components of the mitochondrial degradosome (mtEXO). {ECO:0000269|PubMed:12426313}.		
SPGP0DB00120	608.789490543167	-1.0130029278697	0.103996773134439	-9.74071499853338	2.0212712086035e-22	8.21288718437504e-21	S_cerevisiae	SPGP0DB00120	Q03264	Q03264	NGL2_YEAST	NGL2 YMR285C YM8021.11C	NGL2		YMR285C	YM8021.11C	RNA exonuclease NGL2 (EC 3.1.-.-) (Carbon catabolite repressor protein 4 homolog)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	515	3.1.-.-	rRNA processing [GO:0006364]	3'-5'-exoribonuclease activity [GO:0000175]; endoribonuclease activity [GO:0004521]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	FUNCTION: Involved in pre-rRNA processing. Required for the final stage of 3'-end maturation of 5.8S rRNA at site E. {ECO:0000269|PubMed:12358428}.										SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Nucleus {ECO:0000305}.					
SPGP0DB00150	297.388216531572	-1.07824378763287	0.167967040324473	-6.41937719179876	1.36832989438929e-10	1.6335226841978e-09	S_cerevisiae	SPGP0DB00150	P22136	P22136	AEP2_YEAST	AEP2 ATP13 YMR282C YM8021.08C	AEP2	ATP13	YMR282C	YM8021.08C	ATPase expression protein 2, mitochondrial	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	580		mitochondrial translational initiation [GO:0070124]; regulation of translation [GO:0006417]	RNA binding [GO:0003723]	mitochondrion [GO:0005739]	FUNCTION: Required for translation of the mitochondrial OLI1 transcript coding for the mitochondrial ATP synthase subunit 9. {ECO:0000269|PubMed:10101162, ECO:0000269|PubMed:1718609, ECO:0000269|PubMed:1825065}.										SUBCELLULAR LOCATION: Mitochondrion.			SUBUNIT: Binds to the 5'UTR of the OLI1 mRNA.		
SPGP0DB00290	109.476149051225	-1.35448158951604	0.246787288111203	-5.48845769116645	4.05458357041379e-08	3.23973383875832e-07	S_cerevisiae	SPGP0DB00290	P49960	P49960	PRP24_YEAST	PRP24 YMR268C YM8156.10C	PRP24		YMR268C	YM8156.10C	U4/U6 snRNA-associated-splicing factor PRP24 (U4/U6 snRNP protein)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444		spliceosomal complex assembly [GO:0000245]; spliceosomal tri-snRNP complex assembly [GO:0000244]	RNA binding [GO:0003723]; snRNA binding [GO:0017069]; U6 snRNA binding [GO:0017070]	ribonucleoprotein complex [GO:1990904]; U6 snRNP [GO:0005688]	FUNCTION: Binds preferentially to the U4/U6 hybrid snRNAs. Can stimulate the annealing of U4 and U6. Could participate in both the formation and disassembly of the U4/U6 hybrid during splicing.										SUBCELLULAR LOCATION: Nucleus.				P47093	
