LFC 13C	padj-value 13C	LFC 22C	padj-value 22C	LFC 30C	padj-value 30C	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
1.23148779863768	1.9518418904153e-08	3.26923993972699	3.2737875890613e-55	3.32471867069205	1.08223169412019e-56	S_eubayanus	SPGP0CZ03050	XP_018221123.1	A0A0L8RG46	A0A0L8RG46_SACEU	DI49_3464				DI49_3464	MLP1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	1885		negative regulation of protein import into nucleus during spindle assembly checkpoint [GO:1901925]; nuclear retention of unspliced pre-mRNA at the site of transcription [GO:0071048]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; protein localization to nuclear pore [GO:0090204]; telomere tethering at nuclear periphery [GO:0034398]; transcriptional activation by promoter-terminator looping [GO:0090203]	ribonucleoprotein complex binding [GO:0043021]	nuclear pore nuclear basket [GO:0044615]; nucleoplasm [GO:0005654]; spindle pole body [GO:0005816]																
-2.30493661053464	6.6384110607962e-19	3.22078895412416	2.30691245614261e-49	1.34688833676294	4.04067312301131e-11	S_cerevisiae	SPGP0DB00170	P39113	P39113	CAT8_YEAST	CAT8 MSP8 YMR280C YM8021.06C	CAT8	MSP8	YMR280C	YM8021.06C	Regulatory protein CAT8	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1433		carbohydrate metabolic process [GO:0005975]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source [GO:0061414]; transcription, DNA-templated [GO:0006351]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	FUNCTION: Activator of the gluconeogenic enzymes FBP1 and PCK1 genes.										SUBCELLULAR LOCATION: Nucleus.					
3.14612142387121	6.33621918528292e-06	2.82312461985069	0.00107285097294976	1.86865019430335	0.00659294135359205	S_cerevisiae	SPGP0DB00840	Q03652	Q03652	DML1_YEAST	DML1 YMR211W YM8261.05	DML1		YMR211W	YM8261.05	Protein DML1 (Drosophila melanogaster misato-like protein 1)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	475		mitochondrial genome maintenance [GO:0000002]; mitochondrion distribution [GO:0048311]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly [GO:0090307]; plasmid maintenance [GO:0006276]		cytoplasm [GO:0005737]; mitochondrion [GO:0005739]	FUNCTION: Involved in the partitioning of the mitochondrial organelle and mitochondrial DNA (mtDNA) inheritance. {ECO:0000269|PubMed:12702300}.										SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12702300}. Mitochondrion {ECO:0000269|PubMed:12702300, ECO:0000269|PubMed:14690591}.					
1.69731835558306	5.87331461439779e-15	2.85591797762451	3.46622044401116e-44	2.09931553789032	1.34127803424961e-25	S_cerevisiae	SPGP0DB01030	P05745	P05745	RL36A_YEAST	RPL36A RPL39A YMR194W YM9646.06	RPL36A	RPL39A	YMR194W	YM9646.06	60S ribosomal protein L36-A (L39) (Large ribosomal subunit protein eL36-A) (YL39)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	100		cytoplasmic translation [GO:0002181]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytosolic large ribosomal subunit [GO:0022625]	FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.										SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.			SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:9559554, PubMed:22096102). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.		
5.87434400927078	1.51255382114573e-86	4.66426696848954	6.14601530410733e-52	1.17278448750091	4.60926910822452e-05	S_cerevisiae	SPGP0DB01080	P49095	P49095	GCSP_YEAST	GCV2 GSD2 YMR189W YM9646.01	GCV2	GSD2	YMR189W	YM9646.01	Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine decarboxylase complex subunit P) (Glycine dehydrogenase (aminomethyl-transferring))	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1034	1.4.4.2	glycine decarboxylation via glycine cleavage system [GO:0019464]; one-carbon metabolic process [GO:0006730]	glycine binding [GO:0016594]; glycine dehydrogenase (decarboxylating) activity [GO:0004375]; pyridoxal phosphate binding [GO:0030170]	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]	FUNCTION: The glycine cleavage system (glycine decarboxylase complex) catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein.	CATALYTIC ACTIVITY: Reaction=glycine + H(+) + N(6)-lipoyl-L-lysyl-[glycine-cleavage complex H protein] = (R)-N(6)-(S(8)-aminomethyldihydrolipoyl)-L-lysyl-[glycine-cleavage complex H protein] + CO2; Xref=Rhea:RHEA:24304, Rhea:RHEA-COMP:10494, Rhea:RHEA-COMP:10495, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:57305, ChEBI:CHEBI:83099, ChEBI:CHEBI:83143; EC=1.4.4.2;		COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000250}; 							SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.			SUBUNIT: Component of the glycine decarboxylase complex (GDC), which is composed of four proteins: P, T, L and H.		
-1.11747003938861	1.58371183993891e-09	2.85378075866969	8.16449476548961e-61	1.34057416660101	7.74844626078487e-15	S_cerevisiae	SPGP0DB01910	Q03177	Q03177	YMZ2_YEAST	YMR102C YM6228.01C YM6543.09C YM9718.01C			YMR102C	YM6228.01C YM6543.09C YM9718.01C	WD repeat-containing protein YMR102C	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	834			Rab GTPase binding [GO:0017137]																	
3.29230710263498	2.87144587345463e-13	1.76256089773783	0.000444095460696734	1.22905308092289	0.0250642659052064	S_cerevisiae	SPGP0DB02010	P46680	P46680	AIP1_YEAST	AIP1 YMR092C YM9582.17C	AIP1		YMR092C	YM9582.17C	Actin-interacting protein 1	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	615		actin filament depolymerization [GO:0030042]; barbed-end actin filament capping [GO:0051016]; negative regulation of cytokinesis [GO:0032466]; positive regulation of actin filament depolymerization [GO:0030836]	actin binding [GO:0003779]; actin filament binding [GO:0051015]	actin cortical patch [GO:0030479]; actin filament [GO:0005884]; actomyosin, actin portion [GO:0042643]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; nucleus [GO:0005634]	FUNCTION: Involved in the depolymerization of actin filaments. Enhances the filament disassembly activity of cofilin and restricts cofilin localization to cortical actin patches. {ECO:0000269|PubMed:10366597}.										SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, actin patch.			SUBUNIT: Interacts with actin and cofilin in a ternary complex. {ECO:0000269|PubMed:10366597}.	P60010	
1.69242124754987	2.03415958705871e-15	3.62823501330168	5.17059833679078e-65	1.58260476084116	9.34247416580378e-14	S_cerevisiae	SPGP0DB02360	P37296	P37296	STV1_YEAST	STV1 YMR054W YM9796.07	STV1		YMR054W	YM9796.07	V-type proton ATPase subunit a, Golgi isoform (V-ATPase a 2 subunit) (Similar to VPH1 protein 1) (V-ATPase 101 kDa subunit) (V-ATPase subunit AC115) (Vacuolar proton translocating ATPase subunit a 2)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	890		vacuolar acidification [GO:0007035]	ATPase binding [GO:0051117]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	cell [GO:0005623]; endosome membrane [GO:0010008]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]	FUNCTION: Subunit of the integral membrane V0 complex of vacuolar ATPase essential for assembly and catalytic activity. Is present only in Golgi- and endosome-residing V-ATPase complexes. Enzymes containing this subunit have a 4-fold lower ratio of proton transport to ATP hydrolysis than complexes containing the vacuolar isoform and do not dissociate V1 and V0 in response to glucose depletion. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. {ECO:0000269|PubMed:11278748, ECO:0000269|PubMed:7514599}.										SUBCELLULAR LOCATION: Endosome membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein.		"TRANSMEM 451..469;  /note=""Helical"";  /evidence=""ECO:0000255""; TRANSMEM 472..488;  /note=""Helical"";  /evidence=""ECO:0000255""; TRANSMEM 503..532;  /note=""Helical"";  /evidence=""ECO:0000255""; TRANSMEM 581..600;  /note=""Helical"";  /evidence=""ECO:0000255""; TRANSMEM 619..639;  /note=""Helical"";  /evidence=""ECO:0000255""; TRANSMEM 683..702;  /note=""Helical"";  /evidence=""ECO:0000255""; TRANSMEM 780..804;  /note=""Helical"";  /evidence=""ECO:0000255""; TRANSMEM 829..867;  /note=""Helical"";  /evidence=""ECO:0000255"""	SUBUNIT: V-ATPase is a heteromultimeric enzyme composed of a peripheral catalytic V1 complex (components A to H) attached to an integral membrane V0 proton pore complex (components: a, c, c', c'', d and e).	P32366	
-1.1955851083652	0.0335985202192378	3.1150281812342	7.5431088428153e-09	1.74835541828797	0.000312594050103168	S_cerevisiae	SPGP0DB02700	P53438	P53438	SOK2_YEAST	SOK2 YMR016C YM9711.03C	SOK2		YMR016C	YM9711.03C	Protein SOK2	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	785		positive regulation of transcription by RNA polymerase II [GO:0045944]; pseudohyphal growth [GO:0007124]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytosol [GO:0005829]; nucleus [GO:0005634]	FUNCTION: Plays a general regulatory role in the cyclic AMP-dependent protein kinase-stimulated (PKA) signal transduction pathway by regulating the expression of genes important in growth and development. May inhibit the switch from unicellular to filamentous growth.										SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00630}.					
1.54145261957556	1.45863494425618e-27	-2.52135435937705	1.72504962397066e-60	-1.63822144945387	3.54616434309793e-27	S_cerevisiae	SPGP0DB03080	Q03718	Q03718	NSE5_YEAST	NSE5 YML023C	NSE5		YML023C		Non-structural maintenance of chromosome element 5 (Non-SMC element 5)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	556		DNA recombination [GO:0006310]; DNA repair [GO:0006281]; protein sumoylation [GO:0016925]		nucleus [GO:0005634]; Smc5-Smc6 complex [GO:0030915]	FUNCTION: Acts in a DNA repair pathway for removal of UV-induced DNA damage that is distinct from classical nucleotide excision repair and in repair of ionizing radiation damage. Functions in homologous recombination repair of DNA double strand breaks and in recovery of stalled replication forks.										SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14690591}. Chromosome {ECO:0000250|UniProtKB:O94668}.			SUBUNIT: Component of the Smc5-Smc6 complex which consists of KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5 and SMC6. Interacts with KRE29. {ECO:0000269|PubMed:14690591, ECO:0000269|PubMed:15738391}.	P40026; Q08204	
-1.21991530147174	0.0165541278519357	1.52357630857581	0.000603409573362624	1.28765931019161	0.00168406890173412	S_cerevisiae	SPGP0DB03280	Q04697	Q04697	GSF2_YEAST	GSF2 ECM6 EFF2 YML048W YM9827.04	GSF2	ECM6 EFF2	YML048W	YM9827.04	Glucose-signaling factor 2 (Extracellular mutant protein 6)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	403		protein folding [GO:0006457]; protein localization to cell surface [GO:0034394]	unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; mitochondrial outer membrane [GO:0005741]	FUNCTION: May be involved in the secretion of hexose transporters from the endoplasmic reticulum. Involved in secretion of GAL2 and HXT1. {ECO:0000269|PubMed:10377429, ECO:0000269|PubMed:9335593}.										SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.		"TRANSMEM 178..198;  /note=""Helical; Signal-anchor for type II membrane protein"";  /evidence=""ECO:0000255"""			
1.89395971916432	2.03034274454992e-11	-4.00505158858194	3.79395439922068e-34	-1.59907921686701	1.29032048145569e-07	S_cerevisiae	SPGP0DB03290	Q04693	Q04693	RSE1_YEAST	RSE1 SAP130 YML049C YM9827.03C	RSE1	SAP130	YML049C	YM9827.03C	Pre-mRNA-splicing factor RSE1 (RNA splicing and ER to Golgi transport factor 1) (Spliceosome-associated protein 130)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1361		mRNA splicing, via spliceosome [GO:0000398]; spliceosomal complex assembly [GO:0000245]	U2 snRNA binding [GO:0030620]	nucleus [GO:0005634]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]	FUNCTION: Involved in G2/M transition (By similarity). Required for pre-mRNA splicing and endoplasmic reticulum (ER) to Golgi secretion pathway. U2 snRNPs associated protein required for the pre-spliceosome assembly. The involvement in ER to Golgi secretion is probably indirect and due to the splicing of the pre-mRNA coding for SAR1, a small GTP-binding protein required for COPII vesicle formation from the ER. {ECO:0000250, ECO:0000269|PubMed:10369685, ECO:0000269|PubMed:9819400}.										SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.			SUBUNIT: Belongs to the SF3B complex, a U2 associated sub-complex of the spliceosome. The SF3B complex is composed of at least CUS1, HSH49, HSH155, RDS3 and RSE1. Belongs also to the CWC complex (or CEF1-associated complex), a spliceosome sub-complex reminiscent of a late-stage spliceosome composed of the U2, U5 and U6 snRNAs and at least BUD13, BUD31, BRR2, CDC40, CEF1, CLF1, CUS1, CWC2, CWC15, CWC21, CWC22, CWC23, CWC24, CWC25, CWC27, ECM2, HSH155, IST3, ISY1, LEA1, MSL1, NTC20, PRP8, PRP9, PRP11, PRP19, PRP21, PRP22, PRP45, PRP46, SLU7, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, SNT309, SNU114, SPP2, SYF1, SYF2, RSE1 and YJU2. Interacts with RDS3. {ECO:0000269|PubMed:10449419, ECO:0000269|PubMed:11884590, ECO:0000269|PubMed:14517302, ECO:0000269|PubMed:15565172}.	P49955	
-1.64387139643629	0.000379722159358986	1.11961838742994	0.00267754094248006	1.17093325380259	0.000801611001196082	S_cerevisiae	SPGP0DB03380	Q04964	Q04964	SML1_YEAST	SML1 YML058W YM9958.04	SML1		YML058W	YM9958.04	Ribonucleotide reductase inhibitor protein SML1	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	104		cell cycle [GO:0007049]; cellular protein localization [GO:0034613]; cellular response to DNA damage stimulus [GO:0006974]; mitochondrion organization [GO:0007005]; negative regulation of DNA replication [GO:0008156]; regulation of ribonucleoside-diphosphate reductase activity [GO:1905117]	ribonucleoside-diphosphate reductase inhibitor activity [GO:1990846]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	FUNCTION: Strong inhibitor of ribonucleotide reductase (RNR1) and is involved in regulating dNTP production. {ECO:0000269|PubMed:10593972, ECO:0000269|PubMed:20566477}.										SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20566477}. Cytoplasm {ECO:0000269|PubMed:20566477}.			SUBUNIT: Homodimer; disulfide-linked. Interacts with RNR1. {ECO:0000269|PubMed:10593972}.	P21524	
2.06309223665461	1.39907522240036e-29	1.43602713607647	7.15681158920467e-15	1.52987948794705	2.24756002665193e-16	S_cerevisiae	SPGP0DC02160	P33315	P33315	TKT2_YEAST	TKL2 YBR117C YBR0912	TKL2		YBR117C	YBR0912	Transketolase 2 (TK 2) (EC 2.2.1.1)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	681	2.2.1.1	pentose-phosphate shunt [GO:0006098]	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	FUNCTION: Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate. {ECO:0000250}.	CATALYTIC ACTIVITY: Reaction=D-glyceraldehyde 3-phosphate + D-sedoheptulose 7-phosphate = aldehydo-D-ribose 5-phosphate + D-xylulose 5-phosphate; Xref=Rhea:RHEA:10508, ChEBI:CHEBI:57483, ChEBI:CHEBI:57737, ChEBI:CHEBI:58273, ChEBI:CHEBI:59776; EC=2.2.1.1;		COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; Name=Co(2+); Xref=ChEBI:CHEBI:48828; Evidence={ECO:0000250};  Note=Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; COFACTOR: Name=thiamine diphosphate; Xref=ChEBI:CHEBI:58937; Evidence={ECO:0000250};  Note=Binds 1 thiamine pyrophosphate per subunit. {ECO:0000250};										SUBUNIT: Homodimer. {ECO:0000250}.	P23254	
1.04578249514452	8.8840787273948e-07	2.38219172667833	8.30650101411169e-27	1.6419922591255	9.90510469983705e-16	S_cerevisiae	SPGP0DD00150	P40447	P40447	NIT1_YEAST	NIT1 YIL164C YI9402.10BC	NIT1		YIL164C	YI9402.10BC	Putative nitrilase-like protein NIT1	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	199		nitrogen compound metabolic process [GO:0006807]	nitrilase activity [GO:0000257]																	
-3.77751407376224	3.24781643332419e-12	3.23950243500342	2.42390288268241e-11	1.08187987951368	0.0260637513463265	S_cerevisiae	SPGP0DD00180	P27796	P27796	THIK_YEAST	POT1 FOX3 POX3 YIL160C	POT1	FOX3 POX3	YIL160C		3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	417	2.3.1.16	fatty acid beta-oxidation [GO:0006635]; phenylacetate catabolic process [GO:0010124]	acetyl-CoA C-acyltransferase activity [GO:0003988]; mRNA binding [GO:0003729]	mitochondrial intermembrane space [GO:0005758]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]		CATALYTIC ACTIVITY: Reaction=acetyl-CoA + an acyl-CoA = a 3-oxoacyl-CoA + CoA; Xref=Rhea:RHEA:21564, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:58342, ChEBI:CHEBI:90726; EC=2.3.1.16;					PATHWAY: Lipid metabolism; fatty acid metabolism.				SUBCELLULAR LOCATION: Peroxisome. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.			SUBUNIT: Homodimer.	P50091; P39108	
