""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CZ00380	672.642890842821	-1.63887723625112	0.135681559537713	-12.078850227216	1.36616683257012e-33	3.36659938660813e-32	S_eubayanus	SPGP0CZ00380	XP_018220864.1	A0A0L8RG37	A0A0L8RG37_SACEU	DI49_3191				DI49_3191	CNB1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	175		adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; cellular ion homeostasis [GO:0006873]; fungal-type cell wall organization [GO:0031505]	calcium-dependent protein serine/threonine phosphatase activity [GO:0004723]; calcium-dependent protein serine/threonine phosphatase regulator activity [GO:0008597]; calcium ion binding [GO:0005509]	calcineurin complex [GO:0005955]; cell [GO:0005623]; cell division site [GO:0032153]; cytoplasm [GO:0005737]																
SPGP0CZ00400	737.762527145274	1.87048427573085	0.246980694073933	7.57340278253057	3.63572814026981e-14	2.48320500696477e-13	S_eubayanus	SPGP0CZ00400	XP_018220866.1	A0A0L8RFD6	A0A0L8RFD6_SACEU	DI49_3194				DI49_3194	PXA2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	858		fatty acid beta-oxidation [GO:0006635]; fatty-acyl-CoA transport [GO:0015916]; long-chain fatty acid catabolic process [GO:0042758]; long-chain fatty acid import into peroxisome [GO:0015910]; very long-chain fatty acid catabolic process [GO:0042760]	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; long-chain fatty acid transporter activity [GO:0005324]	integral component of peroxisomal membrane [GO:0005779]																
SPGP0CZ00410	1246.2622306276	3.39916477721782	0.176584675021697	19.2494891009095	1.42561836011422e-82	5.2696557063262e-80	S_eubayanus	SPGP0CZ00410	XP_018220867.1	A0A0L8RFD9	A0A0L8RFD9_SACEU	DI49_3195				DI49_3195	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	752		long-chain fatty acid transport [GO:0015909]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 15..36;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 546..568;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 577..605;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 625..649;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00420	62.2520168422533	1.39615622301805	0.281640562834999	4.95722707327494	7.15063870005011e-07	2.61906667567035e-06	S_eubayanus	SPGP0CZ00420	XP_018220868.1	A0A0L8RFF7	A0A0L8RFF7_SACEU	DI49_3196				DI49_3196	MTR2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	185		poly(A)+ mRNA export from nucleus [GO:0016973]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit export from nucleus [GO:0000056]		nuclear RNA export factor complex [GO:0042272]																
SPGP0CZ00460	16766.0210957205	-1.4667561070408	0.116031569155092	-12.6410089747237	1.2543391177526e-36	3.7634246062181e-35	S_eubayanus	SPGP0CZ00460	XP_018220872.1	A0A0L8RFE4	A0A0L8RFE4_SACEU	DI49_3200				DI49_3200	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	unreviewed	Saccharomyces eubayanus (Yeast)	2050	2.3.1.86; 4.2.1.59; 1.3.1.9; 2.3.1.38; 2.3.1.39; 3.1.2.14	long-chain fatty acid biosynthetic process [GO:0042759]	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity [GO:0008693]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity [GO:0004319]; enoyl-[acyl-carrier-protein] reductase activity [GO:0016631]; fatty-acyl-CoA synthase activity [GO:0004321]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; palmitoyltransferase activity [GO:0016409]	fatty acid synthase complex [GO:0005835]; lipid droplet [GO:0005811]	FUNCTION: Fatty acid synthetase catalyzes the formation of long-chain fatty acids from acetyl-CoA, malonyl-CoA and NADPH. The beta subunit contains domains for: [acyl-carrier-protein] acetyltransferase and malonyltransferase, S-acyl fatty acid synthase thioesterase, enoyl-[acyl-carrier-protein] reductase, and 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase. {ECO:0000256|PIRNR:PIRNR005562}.	CATALYTIC ACTIVITY: Reaction=(9Z)-octadecenoyl-[ACP] + H2O = (9Z)-octadecenoate + H(+) + holo-[ACP]; Xref=Rhea:RHEA:15057, Rhea:RHEA-COMP:9685, Rhea:RHEA-COMP:9924, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30823, ChEBI:CHEBI:64479, ChEBI:CHEBI:78783; EC=3.1.2.14; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=a (3R)-hydroxyacyl-[ACP] = a (2E)-enoyl-[ACP] + H2O; Xref=Rhea:RHEA:13097, Rhea:RHEA-COMP:9925, Rhea:RHEA-COMP:9945, ChEBI:CHEBI:15377, ChEBI:CHEBI:78784, ChEBI:CHEBI:78827; EC=4.2.1.59; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=a 2,3-saturated acyl-[ACP] + NAD(+) = a (2E)-enoyl-[ACP] + H(+) + NADH; Xref=Rhea:RHEA:10240, Rhea:RHEA-COMP:9925, Rhea:RHEA-COMP:9926, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:78784, ChEBI:CHEBI:78785; EC=1.3.1.9; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=acetyl-CoA + 2n H(+) + n malonyl-CoA + 2n NADPH = a long-chain fatty acyl-CoA + n CO2 + n CoA + H2O + 2n NADP(+); Xref=Rhea:RHEA:22896, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:57384, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:83139; EC=2.3.1.86; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=acetyl-CoA + holo-[ACP] = acetyl-[ACP] + CoA; Xref=Rhea:RHEA:41788, Rhea:RHEA-COMP:9621, Rhea:RHEA-COMP:9685, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:64479, ChEBI:CHEBI:78446; EC=2.3.1.38; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=holo-[ACP] + malonyl-CoA = CoA + malonyl-[ACP]; Xref=Rhea:RHEA:41792, Rhea:RHEA-COMP:9623, Rhea:RHEA-COMP:9685, ChEBI:CHEBI:57287, ChEBI:CHEBI:57384, ChEBI:CHEBI:64479, ChEBI:CHEBI:78449; EC=2.3.1.39; Evidence={ECO:0000256|PIRNR:PIRNR005562};												SUBUNIT: [Alpha(6)beta(6)] hexamers of two multifunctional subunits (alpha and beta). {ECO:0000256|PIRNR:PIRNR005562}.		
SPGP0CZ00470	7878.39884935983	-1.1795650582859	0.119367316230322	-9.88180932215904	4.99232434556515e-23	6.44330576499547e-22	S_eubayanus	SPGP0CZ00470	XP_018220873.1	A0A0L8RFG0	A0A0L8RFG0_SACEU	DI49_3201				DI49_3201	PRS1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	427		5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; fungal-type cell wall organization [GO:0031505]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]	cytoplasmic stress granule [GO:0010494]; ribose phosphate diphosphokinase complex [GO:0002189]																
SPGP0CZ00480	3654.63652772596	-1.02602646891892	0.118614133554014	-8.65011983122311	5.14453820227117e-18	4.71633705626864e-17	S_eubayanus	SPGP0CZ00480	XP_018220874.1	A0A0L8RG45	A0A0L8RG45_SACEU	DI49_3202				DI49_3202	RPL17A-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	184		cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]; cytoplasmic translation [GO:0002181]	structural constituent of ribosome [GO:0003735]	cytosolic large ribosomal subunit [GO:0022625]; preribosome, large subunit precursor [GO:0030687]																
SPGP0CZ00560	13388.2583354263	-1.48661960406958	0.183243085103753	-8.11282784956308	4.94551124139179e-16	3.82759375056127e-15	S_eubayanus	SPGP0CZ00560	XP_018220882.1	A0A0L8RFF4	A0A0L8RFF4_SACEU	DI49_3210				DI49_3210	NNK1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	933		proteolysis [GO:0006508]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	cytoplasm [GO:0005737]																
SPGP0CZ00570	406.998603003318	2.76835911527837	0.216725673014535	12.7735633567174	2.30361903580461e-37	7.26544147094554e-36	S_eubayanus	SPGP0CZ00570	XP_018220883.1	A0A0L8RFG9	A0A0L8RFG9_SACEU	DI49_3211				DI49_3211	MRPL38-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	138		translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	mitochondrial large ribosomal subunit [GO:0005762]																
SPGP0CZ00640	79.2492134728049	1.13740239880893	0.265901133326515	4.27753873998064	1.88971079135768e-05	5.90958288424242e-05	S_eubayanus	SPGP0CZ00640	XP_018220890.1	A0A0L8RFN1	A0A0L8RFN1_SACEU	DI49_3219				DI49_3219	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	253			structural constituent of cell wall [GO:0005199]	cell wall [GO:0005618]																
SPGP0CZ00650	529.491867983374	-2.79390092170082	0.274754991581688	-10.1686994133104	2.7353656073947e-24	3.81835552536774e-23	S_eubayanus	SPGP0CZ00650	XP_018220891.1	A0A0L8RFG1	A0A0L8RFG1_SACEU	DI49_3220				DI49_3220	Protein arginine methyltransferase NDUFAF7 (EC 2.1.1.320)	unreviewed	Saccharomyces eubayanus (Yeast)	401	2.1.1.320		protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]	mitochondrion [GO:0005739]	FUNCTION: Arginine methyltransferase involved in the assembly or stability of mitochondrial NADH:ubiquinone oxidoreductase complex (complex I). {ECO:0000256|RuleBase:RU364114}.	CATALYTIC ACTIVITY: Reaction=L-arginyl-[protein] + 2 S-adenosyl-L-methionine = 2 H(+) + N(omega),N(omega)'-dimethyl-L-arginyl-[protein] + 2 S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:48108, Rhea:RHEA-COMP:10532, Rhea:RHEA-COMP:11992, ChEBI:CHEBI:15378, ChEBI:CHEBI:29965, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:88221; EC=2.1.1.320; Evidence={ECO:0000256|RuleBase:RU364114};									SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU364114}.					
SPGP0CZ00660	556.245382648383	1.66302734649351	0.164247610240648	10.1251235500896	4.27438569805835e-24	5.88667633915905e-23	S_eubayanus	SPGP0CZ00660	XP_018220892.1	A0A0L8RFG3	A0A0L8RFG3_SACEU	DI49_3221				DI49_3221	Mitogen-activated protein kinase (EC 2.7.11.24)	unreviewed	Saccharomyces eubayanus (Yeast)	504	2.7.11.24		ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]			CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.24; Evidence={ECO:0000256|SAAS:SAAS01125144}; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.24; Evidence={ECO:0000256|RuleBase:RU361165, ECO:0000256|SAAS:SAAS01125154};		COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|RuleBase:RU361165}; 												
SPGP0CZ00690	2601.77659949293	1.56275368890296	0.1653103609769	9.45345276404868	3.27834347532129e-21	3.72634342625388e-20	S_cerevisiae	SPGP0CZ00690	P32454	P32454	APE2_YEAST	APE2 LAP1 YKL157W YKL158W YKL611 YKL612	APE2	LAP1	YKL157W	YKL158W YKL611 YKL612	Aminopeptidase 2, mitochondrial (AP-II) (Aminopeptidase II) (EC 3.4.11.-) (YscII)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	952	3.4.11.-	peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]	metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	cell wall-bounded periplasmic space [GO:0030287]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	FUNCTION: Involved in the cellular supply of leucine from externally offered leucine-containing dipeptide substrates.			COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250};  Note=Binds 1 zinc ion per subunit. {ECO:0000250};							SUBCELLULAR LOCATION: Periplasm. Cytoplasm. Mitochondrion.					
SPGP0CZ00700	1647.92025165724	1.79968237895049	0.139163388783442	12.9321540290388	2.96396808506483e-38	9.85252844391514e-37	S_eubayanus	SPGP0CZ00700	XP_018220895.1	A0A0L8RFN5	A0A0L8RFN5_SACEU	DI49_3224				DI49_3224	40S ribosomal protein S27	unreviewed	Saccharomyces eubayanus (Yeast)	82		translation [GO:0006412]	metal ion binding [GO:0046872]; structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]				COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|RuleBase:RU000671};  Note=Binds 1 zinc ion per subunit. {ECO:0000256|RuleBase:RU000671};												
SPGP0CZ00730	350.67506938816	-1.0966480958762	0.136671788159225	-8.02395366773561	1.02394936306765e-15	7.75599677385915e-15	S_eubayanus	SPGP0CZ00730	XP_018220898.1	A0A0L8RFH9	A0A0L8RFH9_SACEU	DI49_3228				DI49_3228	Phosphoglycerate mutase (EC 5.4.2.11)	unreviewed	Saccharomyces eubayanus (Yeast)	247	5.4.2.11	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	phosphoglycerate mutase activity [GO:0004619]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]		CATALYTIC ACTIVITY: Reaction=(2R)-2-phosphoglycerate = (2R)-3-phosphoglycerate; Xref=Rhea:RHEA:15901, ChEBI:CHEBI:58272, ChEBI:CHEBI:58289; EC=5.4.2.11; Evidence={ECO:0000256|RuleBase:RU004511};					PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 3/5. {ECO:0000256|RuleBase:RU004511}.									
SPGP0CZ00760	859.790891290655	1.94437693640693	0.142866013500894	13.6097934614432	3.50232166870336e-42	1.48463094222421e-40	S_eubayanus	SPGP0CZ00760	XP_018220901.1	A0A0L8RFG8	A0A0L8RFG8_SACEU	DI49_3231				DI49_3231	DBR1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	406		mRNA splicing, via spliceosome [GO:0000398]; pseudohyphal growth [GO:0007124]; RNA catabolic process [GO:0006401]; snoRNA metabolic process [GO:0016074]; transposition, RNA-mediated [GO:0032197]	RNA lariat debranching enzyme activity [GO:0008419]																	
